subject,field,value,source,observed,confidence,note
gerard-doustraat-85,key_photo,PicturesOriginal/IMG_0577.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS
gerard-doustraat-85,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today"
gerard-doustraat-85,coordinate,"52.3558333,4.892",photos-2009,2009-10-13,0.9,"own GPS, DOP 1.0, camera bearing 267.9 deg true"
gerard-doustraat-85,photo_heading,267.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix
brouwersgracht-137,name,Coffeeshop 137,placesdata-2011,2011-07-18,0.7,
brouwersgracht-137,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
brouwersgracht-137,phone,+31 20 627 0764,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
brouwersgracht-137,coordinate,"52.381397,4.886306",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
brouwersgracht-137,key_photo,PicturesOriginal/IMG_0390.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
brouwersgracht-137,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
brouwersgracht-137,coordinate,"52.3815,4.8863333",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 89.9 deg true"
brouwersgracht-137,photo_heading,89.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
hudsonstraat-156,name,Coffeeshop 156,placesdata-2011,2011-07-18,0.7,
hudsonstraat-156,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
hudsonstraat-156,phone,+31 20 685 5308,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
hudsonstraat-156,coordinate,"52.369204,4.852626",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
hudsonstraat-156,key_photo,PicturesOriginal/IMG_0730.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS
hudsonstraat-156,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today"
hudsonstraat-156,coordinate,"52.3696667,4.8523333",photos-2009,2009-10-14,0.9,"own GPS, DOP 1.0, camera bearing 68.9 deg true"
hudsonstraat-156,photo_heading,68.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix
warmoesstraat-36,name,Coffeeshop 36,placesdata-2011,2011-07-18,0.7,
warmoesstraat-36,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
warmoesstraat-36,phone,+31 20 624 2493,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
warmoesstraat-36,coordinate,"52.375791,4.898479",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
warmoesstraat-36,key_photo,PicturesOriginal/IMG_0023.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
warmoesstraat-36,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
warmoesstraat-36,coordinate,"52.3755,4.8983333",photos-2009,2009-10-04,0.6,"own GPS, camera bearing 9.9 deg true"
warmoesstraat-36,photo_heading,9.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
jan-pieter-heijestraat-96,name,Coffeeshop 96,placesdata-2011,2011-07-18,0.7,
jan-pieter-heijestraat-96,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
jan-pieter-heijestraat-96,phone,+31 20 618 6084,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
jan-pieter-heijestraat-96,coordinate,"52.363633,4.863265",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
jan-pieter-heijestraat-96,key_photo,PicturesOriginal/IMG_0793.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS
jan-pieter-heijestraat-96,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today"
jan-pieter-heijestraat-96,coordinate,"52.3638333,4.8635",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 233.9 deg true"
jan-pieter-heijestraat-96,photo_heading,233.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix
pretoriusstraat-67,name,Crash Light,placesdata-2011,2011-07-18,0.7,
pretoriusstraat-67,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
pretoriusstraat-67,phone,+31 20 665 9757,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
pretoriusstraat-67,coordinate,"52.354741,4.922215",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
pretoriusstraat-67,key_photo,PicturesOriginal/IMG_0500.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS
pretoriusstraat-67,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today"
pretoriusstraat-67,coordinate,"52.355,4.922",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 42.9 deg true"
pretoriusstraat-67,photo_heading,42.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix
marnixstraat-383,name,Crush,placesdata-2011,2011-07-18,0.7,
marnixstraat-383,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
marnixstraat-383,phone,+31 20 420 4435,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
marnixstraat-383,coordinate,"52.366079,4.880039",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
marnixstraat-383,key_photo,PicturesOriginal/IMG_0884.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
marnixstraat-383,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
marnixstraat-383,coordinate,"52.3658333,4.8801667",photos-2009,2009-10-15,0.9,"own GPS, DOP 5.0"
handboogstraat-29,name,De Dampkring 1,placesdata-2011,2011-07-18,0.7,
handboogstraat-29,sort_name,Dampkring 1,placesdata-2011,2011-07-18,0.7,
handboogstraat-29,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
handboogstraat-29,phone,+31 20 638 0705,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
handboogstraat-29,website,http://www.dampkring.nl,placesdata-2011,2011-07-18,0.4,
handboogstraat-29,coordinate,"52.367773,4.890592",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
handboogstraat-29,key_photo,PicturesOriginal/IMG_0242.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
handboogstraat-29,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
handboogstraat-29,coordinate,"52.3686667,4.8891667",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 67.9 deg true"
handboogstraat-29,photo_heading,67.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
haarlemmerstraat-44,name,De Dampkring 2,placesdata-2011,2011-07-18,0.7,
haarlemmerstraat-44,sort_name,Dampkring 2,placesdata-2011,2011-07-18,0.7,
haarlemmerstraat-44,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
haarlemmerstraat-44,phone,+31 20 320 5427,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
haarlemmerstraat-44,website,http://www.dampkring.nl,placesdata-2011,2011-07-18,0.4,
haarlemmerstraat-44,coordinate,"52.380005,4.892907",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
haarlemmerstraat-44,key_photo,PicturesOriginal/IMG_0980.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
haarlemmerstraat-44,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
haarlemmerstraat-44,coordinate,"52.3801667,4.8928333",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 100.9 deg true"
haarlemmerstraat-44,photo_heading,100.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix
kerkstraat-39,name,The Dolphin's,placesdata-2011,2011-07-18,0.7,
kerkstraat-39,sort_name,Dolphin's,placesdata-2011,2011-07-18,0.7,
kerkstraat-39,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
kerkstraat-39,phone,+31 20 774 3336,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
kerkstraat-39,coordinate,"52.365655,4.885331",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
kerkstraat-39,key_photo,PicturesOriginal/IMG_0172.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
kerkstraat-39,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
kerkstraat-39,coordinate,"52.3655,4.8853333",photos-2009,2009-10-06,0.9,"own GPS, DOP 5.0, camera bearing 38.9 deg true"
kerkstraat-39,photo_heading,38.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
singel-14,name,The Doors,placesdata-2011,2011-07-18,0.7,
singel-14,sort_name,Doors,placesdata-2011,2011-07-18,0.7,
singel-14,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
singel-14,phone,+31 20 626 3900,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
singel-14,foursquare,55801,placesdata-2011,2011-07-18,0.5,
singel-14,coordinate,"52.378989,4.893808",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
singel-14,key_photo,PicturesOriginal/IMG_0335.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
singel-14,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
singel-14,coordinate,"52.3761667,4.8928333",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 359.9 deg true"
singel-14,photo_heading,359.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
spuistraat-46,name,The Doors Palace,placesdata-2011,2011-07-18,0.7,
spuistraat-46,sort_name,Doors Palace,placesdata-2011,2011-07-18,0.7,
spuistraat-46,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
spuistraat-46,phone,+31 20 625 0996,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
spuistraat-46,foursquare,55301,placesdata-2011,2011-07-18,0.5,
spuistraat-46,coordinate,"52.376276,4.892579",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
spuistraat-46,key_photo,PicturesOriginal/IMG_1176.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
spuistraat-46,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
spuistraat-46,coordinate,"52.3761667,4.8925",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 294.9 deg true"
spuistraat-46,photo_heading,294.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
nieuwendijk-32,name,Double Reggae,placesdata-2011,2011-07-18,0.7,
nieuwendijk-32,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
nieuwendijk-32,phone,+31 20 638 6101,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
nieuwendijk-32,coordinate,"52.378181,4.895436",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
nieuwendijk-32,key_photo,PicturesOriginal/IMG_0361.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
nieuwendijk-32,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
nieuwendijk-32,coordinate,"52.378,4.8961667",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 117.9 deg true"
nieuwendijk-32,photo_heading,117.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
witte-de-withstraat-30,name,The Dream,placesdata-2011,2011-07-18,0.7,
witte-de-withstraat-30,sort_name,Dream,placesdata-2011,2011-07-18,0.7,
witte-de-withstraat-30,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
witte-de-withstraat-30,phone,+31 20 685 3847,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
witte-de-withstraat-30,coordinate,"52.365866,4.859533",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
witte-de-withstraat-30,key_photo,PicturesOriginal/IMG_0805.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS
witte-de-withstraat-30,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today"
witte-de-withstraat-30,coordinate,"52.3658333,4.8591667",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 38.9 deg true"
witte-de-withstraat-30,photo_heading,38.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix
singel-387,name,Dutch Flowers,placesdata-2011,2011-07-18,0.7,
singel-387,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
singel-387,phone,+31 20  624 7624,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
singel-387,coordinate,"52.368731,4.888293",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
singel-387,key_photo,PicturesOriginal/IMG_1063.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
singel-387,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
singel-387,coordinate,"52.3688333,4.8881667",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 359.9 deg true"
singel-387,photo_heading,359.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
pieter-vlamingstraat-98,name,Eastwood,placesdata-2011,2011-07-18,0.7,
pieter-vlamingstraat-98,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
pieter-vlamingstraat-98,phone,+31 20 624 7624,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
pieter-vlamingstraat-98,coordinate,"52.36522,4.92783",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
pieter-vlamingstraat-98,key_photo,PicturesOriginal/IMG_0464.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS
pieter-vlamingstraat-98,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today"
pieter-vlamingstraat-98,coordinate,"52.3651667,4.9278333",photos-2009,2009-10-13,0.9,"own GPS, DOP 0.5, camera bearing 74.9 deg true"
pieter-vlamingstraat-98,photo_heading,74.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix
prinsengracht-476,name,Easy Times,placesdata-2011,2011-07-18,0.7,
prinsengracht-476,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
prinsengracht-476,phone,+31 20 624 1572,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
prinsengracht-476,coordinate,"52.364305,4.884893",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
prinsengracht-476,key_photo,PicturesOriginal/IMG_0881.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
prinsengracht-476,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
prinsengracht-476,coordinate,"52.3643333,4.8858333",photos-2009,2009-10-15,0.6,"own GPS, camera bearing 265.9 deg true"
prinsengracht-476,photo_heading,265.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix
oude-hoogstraat-2,name,Extase,placesdata-2011,2011-07-18,0.7,
oude-hoogstraat-2,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
oude-hoogstraat-2,phone,+31 20 623 3058,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
oude-hoogstraat-2,coordinate,"52.371367,4.897034",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
oude-hoogstraat-2,key_photo,PicturesOriginal/IMG_1237.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
oude-hoogstraat-2,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
oude-hoogstraat-2,coordinate,"52.3715,4.897",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 144.9 deg true"
oude-hoogstraat-2,photo_heading,144.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
oudezijds-voorburgwal-36,name,Feels Good,placesdata-2011,2011-07-18,0.7,
oudezijds-voorburgwal-36,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
oudezijds-voorburgwal-36,phone,+31 20 622 1055,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
oudezijds-voorburgwal-36,coordinate,"52.3752,4.899452",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
oudezijds-voorburgwal-36,key_photo,PicturesOriginal/IMG_1246.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
oudezijds-voorburgwal-36,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
oudezijds-voorburgwal-36,coordinate,"52.3751667,4.8995",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0"
papaverweg-2,name,Het Filiaal,placesdata-2011,2011-07-18,0.7,
papaverweg-2,sort_name,Filiaal,placesdata-2011,2011-07-18,0.7,
papaverweg-2,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
papaverweg-2,phone,+31 20 493 0713,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
papaverweg-2,coordinate,"52.39345,4.912854",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
papaverweg-2,key_photo,PicturesOriginal/IMG_1288.JPG,photos-2009,2009-10-18,1.0,Apple iPhone 3GS
papaverweg-2,trading,true,photos-2009,2009-10-18,1.0,"photographed open; presence attested, not a claim about today"
papaverweg-2,coordinate,"52.3936667,4.9126667",photos-2009,2009-10-18,0.9,"own GPS, DOP 3.0, camera bearing 47.9 deg true"
papaverweg-2,photo_heading,47.9,photos-2009,2009-10-18,1.0,the shopfront lies along this bearing from the fix
hudsonstraat-138,name,Flash Back,placesdata-2011,2011-07-18,0.7,
hudsonstraat-138,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
hudsonstraat-138,phone,+31 20 489 6115,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
hudsonstraat-138,coordinate,"52.368761,4.852816",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
hudsonstraat-138,key_photo,PicturesOriginal/IMG_0724.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS
hudsonstraat-138,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today"
hudsonstraat-138,coordinate,"52.3688333,4.8528333",photos-2009,2009-10-14,0.9,"own GPS, DOP 1.0, camera bearing 44.9 deg true"
hudsonstraat-138,photo_heading,44.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix
rozengracht-139,name,Flower Power,placesdata-2011,2011-07-18,0.7,
rozengracht-139,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
rozengracht-139,phone,+31 20 622 6198,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
rozengracht-139,coordinate,"52.372778,4.878649",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
rozengracht-139,key_photo,PicturesOriginal/IMG_0209.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
rozengracht-139,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
rozengracht-139,coordinate,"52.3726667,4.8785",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 11.9 deg true"
rozengracht-139,photo_heading,11.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
oude-hoogstraat-13,name,Free Adam,placesdata-2011,2011-07-18,0.7,
oude-hoogstraat-13,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
oude-hoogstraat-13,phone,+31 20 627 9910,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
oude-hoogstraat-13,coordinate,"52.371444,4.897554",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
oude-hoogstraat-13,key_photo,PicturesOriginal/IMG_1233.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
oude-hoogstraat-13,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
oude-hoogstraat-13,coordinate,"52.3715,4.897",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 72.9 deg true"
oude-hoogstraat-13,photo_heading,72.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
reguliersdwarsstraat-70,name,Free I,placesdata-2011,2011-07-18,0.7,
reguliersdwarsstraat-70,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
reguliersdwarsstraat-70,phone,+31 20 622 7727,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
reguliersdwarsstraat-70,coordinate,"52.365996,4.893275",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
reguliersdwarsstraat-70,key_photo,PicturesOriginal/IMG_0147.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
reguliersdwarsstraat-70,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
reguliersdwarsstraat-70,coordinate,"52.3663333,4.893",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 132.9 deg true"
reguliersdwarsstraat-70,photo_heading,132.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
van-hogendorpstraat-201,name,Freedom,placesdata-2011,2011-07-18,0.7,
van-hogendorpstraat-201,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
van-hogendorpstraat-201,phone,+31 20 686 8683,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
van-hogendorpstraat-201,coordinate,"52.382473,4.87117",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
van-hogendorpstraat-201,key_photo,PicturesOriginal/IMG_0398.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
van-hogendorpstraat-201,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
van-hogendorpstraat-201,coordinate,"52.3826667,4.871",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 89.9 deg true"
van-hogendorpstraat-201,photo_heading,89.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
lange-niezel-27,name,Freeland,placesdata-2011,2011-07-18,0.7,
lange-niezel-27,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
lange-niezel-27,phone,+31 20 627 3279,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
lange-niezel-27,coordinate,"52.374993,4.899085",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
lange-niezel-27,key_photo,PicturesOriginal/IMG_1248.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
lange-niezel-27,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
lange-niezel-27,coordinate,"52.375,4.8993333",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 335.9 deg true"
lange-niezel-27,photo_heading,335.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
nieuwendijk-30,name,Freeworld,placesdata-2011,2011-07-18,0.7,
nieuwendijk-30,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
nieuwendijk-30,phone,+31 20 620 0902,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
nieuwendijk-30,coordinate,"52.378262,4.895347",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
nieuwendijk-30,key_photo,PicturesOriginal/IMG_0366.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
nieuwendijk-30,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
nieuwendijk-30,coordinate,"52.3783333,4.8953333",photos-2009,2009-10-06,0.9,"own GPS, DOP 5.0, camera bearing 276.9 deg true"
nieuwendijk-30,photo_heading,276.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
nieuwebrugsteeg-24,name,Funny People,placesdata-2011,2011-07-18,0.7,
nieuwebrugsteeg-24,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
nieuwebrugsteeg-24,phone,+31 20 623 8663,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
nieuwebrugsteeg-24,coordinate,"52.37597,4.899693",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
nieuwebrugsteeg-24,key_photo,PicturesOriginal/IMG_0029.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
nieuwebrugsteeg-24,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
nieuwebrugsteeg-24,coordinate,"52.3765,4.9",photos-2009,2009-10-04,0.6,"own GPS, camera bearing 257.9 deg true"
nieuwebrugsteeg-24,photo_heading,257.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
geldersekade-54,name,Het Gelderse,placesdata-2011,2011-07-18,0.7,
geldersekade-54,sort_name,Gelderse,placesdata-2011,2011-07-18,0.7,
geldersekade-54,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
geldersekade-54,phone,+31 20 420 7211,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
geldersekade-54,coordinate,"52.374931,4.901211",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
geldersekade-54,key_photo,PicturesOriginal/IMG_0035.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
geldersekade-54,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
geldersekade-54,coordinate,"52.3751667,4.9016667",photos-2009,2009-10-04,0.9,"own GPS, DOP 5.0, camera bearing 136.9 deg true"
geldersekade-54,photo_heading,136.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
korte-leidsedwarsstraat-77,name,Get Down to It,placesdata-2011,2011-07-18,0.7,
korte-leidsedwarsstraat-77,also_known_as,The News,placesdata-2011,2011-07-18,0.6,
korte-leidsedwarsstraat-77,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
korte-leidsedwarsstraat-77,phone,+31 20 420 1512,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
korte-leidsedwarsstraat-77,coordinate,"52.364011,4.883928",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
korte-leidsedwarsstraat-77,key_photo,PicturesOriginal/IMG_0190.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
korte-leidsedwarsstraat-77,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
korte-leidsedwarsstraat-77,coordinate,"52.364,4.884",photos-2009,2009-10-06,0.9,"own GPS, DOP 5.0, camera bearing 348.9 deg true"
korte-leidsedwarsstraat-77,photo_heading,348.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
amstelveenseweg-61,name,Het Gierenest,placesdata-2011,2011-07-18,0.7,
amstelveenseweg-61,sort_name,Gierenest,placesdata-2011,2011-07-18,0.7,
amstelveenseweg-61,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
amstelveenseweg-61,phone,+31 20 662 0985,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
amstelveenseweg-61,coordinate,"52.353879,4.855907",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
